year,title,studio,total_gross,total_theaters,opening_gross,opening_theaters,opening_date
2012,The Campaign,WB,"$86,907,746",3302,"$26,588,460",3205,8/10
2012,The Expendables 2,LGF,"$85,028,192",3355,"$28,591,370",3316,8/17
2012,Wrath of the Titans,WB,"$83,670,083",3545,"$33,457,188",3545,3/30
2012,Jack Reacher,Par.,"$80,070,736",3352,"$15,210,156",3352,12/21
2012,Dark Shadows,WB,"$79,727,149",3755,"$29,685,274",3755,5/11
2012,Parental Guidance,Fox,"$77,267,296",3368,"$14,554,053",3367,12/25
2012,John Carter,BV,"$73,078,100",3749,"$30,180,188",3749,3/9
2012,Act of Valor,Rela.,"$70,012,847",3053,"$24,476,632",3039,2/24
2012,This Is 40,Uni.,"$67,544,505",2931,"$11,579,175",2912,12/21
2012,Contraband,Uni.,"$66,528,000",2870,"$24,349,815",2863,1/13
2012,Looper,TriS,"$66,486,205",2993,"$20,801,552",2992,9/28
2012,Tyler Perry's Madea's Witness Protection,LGF,"$65,653,242",2161,"$25,390,575",2161,6/29
2012,Battleship,Uni.,"$65,422,625",3702,"$25,534,825",3690,5/18
2012,Pitch Perfect,Uni.,"$65,001,093",2787,"$5,149,433",335,9/28
2012,Mirror Mirror,Rela.,"$64,935,167",3618,"$18,132,085",3603,3/30
2012,Chronicle (2012),Fox,"$64,575,175",2908,"$22,004,098",2907,2/3
2012,Hope Springs,Sony,"$63,536,011",2441,"$14,650,121",2361,8/8
2012,Underworld Awakening,SGem,"$62,321,039",3078,"$25,306,725",3078,1/20
2012,The Lucky One,WB,"$60,457,138",3175,"$22,518,358",3155,4/20
2012,The Dictator,Par.,"$59,650,222",3014,"$17,435,092",3008,5/16
2012,Total Recall (2012),Sony,"$58,877,969",3601,"$25,577,758",3601,8/3
2012,Titanic 3D,Par.,"$57,884,114",3674,"$17,285,453",2674,4/4
2012,American Reunion,Uni.,"$57,011,521",3203,"$21,514,080",3192,4/6
2012,ParaNorman,Focus,"$56,003,051",3455,"$14,087,050",3429,8/17
2012,This Means War,Fox,"$54,760,791",3189,"$17,405,930",3189,2/17
2012,Project X,WB,"$54,731,865",3055,"$21,051,363",3055,3/2
2012,The Woman in Black,CBS,"$54,333,290",2856,"$20,874,072",2855,2/3
2012,Paranormal Activity 4,Par.,"$53,900,335",3412,"$29,003,866",3412,10/19
2012,The Devil Inside,Par.,"$53,261,944",2551,"$33,732,515",2285,1/6
2012,The Odd Life of Timothy Green,BV,"$51,854,875",2717,"$10,822,903",2598,8/15
2012,Ghost Rider: Spirit of Vengeance,Sony,"$51,774,002",3174,"$22,115,334",3174,2/17
2012,The Grey,ORF,"$51,580,236",3208,"$19,665,101",3185,1/27
2012,Red Tails,Fox,"$49,876,377",2573,"$18,782,154",2512,1/20
2012,The Possession,LGF,"$49,130,154",2860,"$17,732,480",2816,8/31
2012,Diary of a Wimpy Kid: Dog Days,Fox,"$49,008,662",3401,"$14,623,599",3391,8/3
2012,Sinister,LG/S,"$48,086,903",2542,"$18,007,634",2527,10/12
2012,Beauty and the Beast (3D),BV,"$47,617,067",2625,"$17,751,905",2625,1/13
2012,Savages (2012),Uni.,"$47,382,068",2635,"$16,016,910",2628,7/6
2012,The Best Exotic Marigold Hotel,FoxS,"$46,412,041",1298,"$737,051",27,5/4
2012,Moonrise Kingdom,Focus,"$45,512,466",924,"$522,996",4,5/25
2012,Here Comes the Boom,Sony,"$45,290,318",3014,"$11,816,596",3014,10/12
2012,Red Dawn (2012),FD,"$44,806,783",2781,"$14,276,668",2724,11/21
2012,The Three Stooges,Fox,"$44,338,224",3482,"$17,010,125",3477,4/13
2012,Star Wars: Episode I - The Phantom Menace (in 3D),Fox,"$43,456,382",2655,"$22,469,932",2655,2/10
2012,Resident Evil: Retribution,SGem,"$42,345,531",3016,"$21,052,227",3012,9/14
2012,The Cabin in the Woods,LGF,"$42,073,277",2811,"$14,743,614",2811,4/13
2012,What to Expect When You're Expecting,LGF,"$41,152,203",3021,"$10,547,068",3021,5/18
2012,Finding Nemo (3D),BV,"$41,128,283",2904,"$16,687,773",2904,9/14
2012,End of Watch,ORF,"$41,003,371",2780,"$13,152,683",2730,9/21
2012,Rock of Ages,WB (NL),"$38,518,613",3470,"$14,437,269",3470,6/15
2012,Abraham Lincoln: Vampire Hunter,Fox,"$37,519,139",3109,"$16,306,974",3108,6/22
2012,Lawless,Wein.,"$37,400,127",3138,"$10,001,982",2888,8/29
2012,The Guilt Trip,Par.,"$37,134,215",2431,"$5,290,629",2431,12/19
2012,That's My Boy,Sony,"$36,931,089",3030,"$13,453,714",3030,6/15
2012,Trouble with the Curve,WB,"$35,763,137",3212,"$12,162,040",3212,9/21
2012,The Watch,Fox,"$35,353,000",3168,"$12,750,297",3168,7/27
2012,Frankenweenie,BV,"$35,291,068",3005,"$11,412,213",3005,10/5
2012,Step Up Revolution,LG/S,"$35,074,677",2606,"$11,731,708",2567,7/27
2012,Tyler Perry's Good Deeds,LGF,"$35,025,791",2132,"$15,583,924",2132,2/24
2012,"Monsters, Inc. (3D)",BV,"$34,043,006",2618,"$4,774,686",2618,12/19
2012,2016 Obama's America,RM,"$33,449,086",2017,"$31,610",1,7/13
2012,House at the End of The Street,Rela.,"$31,611,916",3083,"$12,287,234",3083,9/21
2012,The Pirates! Band of Misfits,Sony,"$31,051,126",3358,"$11,137,734",3358,4/27
2012,Joyful Noise,WB,"$30,932,113",2735,"$11,225,190",2735,1/13
2012,Chimpanzee,BV,"$28,972,764",1567,"$10,673,748",1563,4/20
2012,The Five-Year Engagement,Uni.,"$28,835,528",2941,"$10,610,060",2936,4/27
2011,Harry Potter and the Deathly Hallows Part 2,WB,"$381,011,219",4375,"$169,189,427",4375,7/15
2011,Transformers: Dark of the Moon,P/DW,"$352,390,543",4088,"$97,852,865",4088,6/29
2011,The Twilight Saga: Breaking Dawn Part 1,Sum.,"$281,287,133",4066,"$138,122,261",4061,11/18
2011,The Hangover Part II,WB,"$254,464,305",3675,"$85,946,294",3615,5/26
2011,Pirates of the Caribbean: On Stranger Tides,BV,"$241,071,802",4164,"$90,151,958",4155,5/20
2011,Fast Five,Uni.,"$209,837,675",3793,"$86,198,765",3644,4/29
2011,Mission: Impossible - Ghost Protocol,Par.,"$209,397,903",3555,"$12,785,204",425,12/16
2011,Cars 2,BV,"$191,452,396",4115,"$66,135,507",4115,6/24
2011,Sherlock Holmes: A Game of Shadows,WB,"$186,848,418",3703,"$39,637,079",3703,12/16
