,index,title,score
462,0,How to Train Your Dragon 2,76
463,0,Wreck-It Ralph,72
464,0,The Revenant,76
465,0,Boyhood,100
466,0,Black Panther,88
467,0,Fast & Furious 6,61
468,0,Paranormal Activity 4,40
469,0,The Guilt Trip,50
470,0,J. Edgar,59
471,0,Riddick,49
472,0,Life of Pi,79
473,0,Noah,68
474,0,Step Up Revolution,43
475,0,This Is 40,59
476,0,Despicable Me 2,62
477,0,Black Panther,88
478,0,Zero Dark Thirty,95
479,0,The Possession,45
480,0,Avengers: Age of Ultron,66
481,0,Bridget Jones's Baby,59
482,0,Parental Guidance,36
483,0,Transformers: Age Of Extinction,32
484,0,The Amazing Spider-Man 2,53
485,0,The Wolf of Wall Street,75
486,0,Dumb and Dumber,41
487,0,Captain America: The Winter Soldier,70
488,0,The Forest,34
489,0,Grown Ups 2,19
490,0,Pirates of the Caribbean: At World's End,50
491,0,Safe Haven,34
492,0,Ant-Man and the Wasp,70
493,0,The Hunger Games: Catching Fire,76
494,0,Blumhouse's Truth or Dare,35
495,0,Anchorman 2: The Legend Continues,61
496,0,The Hangover Part III,30
497,0,The Good Dinosaur,66
498,0,Cloudy with a Chance of Meatballs 2,59
499,0,Identity Thief,35
500,0,42,62
501,0,The Internship,42
502,0,The Grand Budapest Hotel,88
503,0,Olympus Has Fallen,41
504,0,Assassin's Creed,36
505,0,Guardians of the Galaxy,76
506,0,The Mortal Instruments: City of Bones,33
507,0,The Hobbit: The Battle of the Five Armies,59
508,0,Dawn of the Planet of the Apes,79
509,0,Captain Phillips,83
510,0,Mark Felt: The Man Who Brought Down the White House,49
511,0,Captain Underpants: The First Epic Movie,69
512,0,When the Bough Breaks,28
513,0,Finding Dory,77
514,0,Alien: Covenant,65
515,0,The Dark Tower,34
516,0,Pitch Perfect 3,40
517,0,Get Out,84
518,0,Sicario: Day of the Soldado,61
519,0,X-Men: Days of Future Past,75
520,0,Home Again,41
521,0,The Hunger Games: Mockingjay - Part 1,64
522,0,2 Guns,55
523,0,The Hunger Games: Mockingjay - Part 2,65
524,0,Pixels,27
525,0,Smurfs: The Lost Village,40
526,0,The Expendables 3,35
527,0,Snitch,51
528,0,Need For Speed,39
529,0,Last Vegas,48
530,0,We're the Millers,44
531,0,Y Tu Mamá También,88
532,0,Black Mass,68
533,0,Jack Ryan: Shadow Recruit,57
534,0,The Conjuring,68
535,0,Jurassic World,59
536,0,Trolls,56
537,0,Kung Fu Panda 3,66
538,0,Prisoners,74
539,0,Muppets Most Wanted,61
540,0,Star Wars: Episode VII - The Force Awakens,81
541,0,Saving Mr. Banks,65
542,0,Edge of Tomorrow,71
543,0,The Best Man Holiday,59
544,0,A Haunted House 2,17
545,0,Interstellar,74
546,0,Ouija: Origin of Evil,65
547,0,Delivery Man,44
548,0,Planes,39
549,0,Exodus: Gods and Kings,52
550,0,The Finest Hours,58
551,0,The Monuments Men,52
552,0,Oculus,61
553,0,August: Osage County,58
554,0,Dallas Buyers Club,84
555,0,Heat,76
556,0,Hotel Transylvania 2,44
557,0,Blue Jasmine,78
558,0,American Hustle,90
559,0,Justice League,45
560,0,A Walk Among the Tombstones,57
561,0,How to Train Your Dragon: The Hidden World,71
562,0,Furious 7,67
563,0,Tomorrowland,60
564,0,Snatched,45
565,0,Pirates of the Caribbean: Dead Men Tell No Tales,39
566,0,The Equalizer,57
567,0,Rio 2,49
568,0,The Boxtrolls,61
569,0,Mission: Impossible - Rogue Nation,75
570,0,Free Birds,38
